trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
334,False,"{'a': 0.6, 'e': 0.054717565516458275}",20,6,19.253415888718404,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.6, 'e': 0.05463583647081531}",25,15,-1.8982429666740686,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
336,False,"{'a': 0.6, 'e': 0.0545544725589981}",25,12,23.643828400435225,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.6, 'e': 0.05447347107028433}",20,6,-0.022406839408253942,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
338,False,"{'a': 0.6, 'e': 0.05439282932204212}",20,5,20.402571030746458,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.6, 'e': 0.05431254465935684}",20,0,31.03139916926161,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,False,"{'a': 0.6, 'e': 0.05423261445466404}",20,11,17.361963979107824,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.6, 'e': 0.05415303610738823}",25,13,20.488964923646588,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.6, 'e': 0.05407380704358752}",30,13,25.002313441848933,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.6, 'e': 0.053994924715603895}",25,16,3.1722041853182783,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.6, 'e': 0.053916386601719206}",20,12,2.1731212135678586,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
345,False,"{'a': 0.6, 'e': 0.05383819020581655}",30,8,38.79024538015538,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.6, 'e': 0.053760333057047034}",20,13,5.428860503629738,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.6, 'e': 0.0536828127095019}",25,11,28.465996893712486,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.6, 'e': 0.05360562674188974}",20,10,-22.856087474264335,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
349,False,"{'a': 0.6, 'e': 0.05352877275721892}",25,8,9.719717395473428,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
350,False,"{'a': 0.6, 'e': 0.05345224838248487}",20,11,16.803129106163155,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.6, 'e': 0.05337605126836238}",20,14,12.799172137038338,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.6, 'e': 0.053300179088902604}",30,16,27.914898406142623,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.6, 'e': 0.05322462954123495}",20,7,21.87956583700916,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.6, 'e': 0.05314940034527339}",30,13,33.832818672205974,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.6, 'e': 0.053074489243427524}",25,2,19.112459776670523,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
356,False,"{'a': 0.6, 'e': 0.052999894000318}",20,3,31.069430800267405,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.6, 'e': 0.05292561240249631}",25,17,18.29489073672544,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.6, 'e': 0.05285164225816899}",20,10,-25.82814235099626,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
359,False,"{'a': 0.6, 'e': 0.05277798139692595}",25,13,20.938940277658634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.6, 'e': 0.05270462766947299}",20,11,16.74039831657793,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.6, 'e': 0.05263157894736842}",30,13,24.78409717114698,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.6, 'e': 0.05255883312276367}",35,23,22.29470790717447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.6, 'e': 0.0524863881081478}",25,20,8.081803748570751,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.6, 'e': 0.052414241836095915}",30,18,21.5785353984289,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.6, 'e': 0.052342392259021375}",20,1,19.19312895830505,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.6, 'e': 0.05227083734893167}",25,14,14.935841614711265,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.6, 'e': 0.052199575097188054}",30,22,18.501989701279435,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.6, 'e': 0.05212860351426869}",25,13,20.607679776374944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.6, 'e': 0.052057920629535355}",35,20,27.483225612884524,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.6, 'e': 0.05198752449100364}",25,10,25.686501187811015,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.6, 'e': 0.0519174131651165}",20,12,14.176766930220978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.6, 'e': 0.05184758473652126}",20,11,17.73338879509271,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.6, 'e': 0.05177803730784977}",25,2,32.55451036483334,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.6, 'e': 0.051708768999501914}",30,10,37.21405507158299,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.6, 'e': 0.051639777949432225}",30,22,12.612938684359701,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.6, 'e': 0.05157106231293967}",20,9,20.41521853994018,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.6, 'e': 0.051502620262460476}",20,12,15.51761652420096,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.6, 'e': 0.05143444998736397}",20,12,12.619495149473387,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
